Bissanbougou	id=g:6875181
Bimabougou	id=g:6875182
Soungalobougou	id=g:6875183
Bramabougou	id=g:6875184
Yassongo	id=g:6875185
Sanankoro	id=g:6875186
Nigouo	id=g:6875187
Sibiri	id=g:6875188
Ngolo	id=g:6875189
Ntiogobougou	id=g:6875190
Nianabougou	id=g:6875191
Mpégabougou	id=g:6875193
Tiéfinbougou	id=g:6875194
Famibougou	id=g:6875195
Zébougou	id=g:6875196
Adamabougou	id=g:6875197
Ganiobougou	id=g:6875198
Kobora	id=g:6875199
Koloba	id=g:6875200
Nammfoubougou	id=g:6875201
Lonababougou	id=g:6875202
Fatoroma	id=g:6875203
Bokari	id=g:6875204
Sorobougou	id=g:6875205
Fatia	id=g:6875206
Diassaba	id=g:6875207
Dalé	id=g:6875208
Dabakari	id=g:6875209
Diassagué	id=g:6875210
Tatialé	id=g:6875211
Dababougou	id=g:6875212
Kodiassa	id=g:6875213
Banankoro	id=g:6875214
Daoulasso-Diassa	id=g:6875215
Waïbéra	id=g:6875216
Siebara	id=g:6875217
Katioroni	id=g:6875218
Oudokouna	id=g:6875219
Nkofouna	id=g:6875220
Tiogola	id=g:6875221
Nkonkasso	id=g:6875222
Senani	id=g:6875223
Baniabougou	id=g:6875224
Pissasso	id=g:6875225
Lac Ngoroma	id=g:6875226
Niénié	id=g:6875227
Kanya	id=g:6875843
Wonon	id=g:6875844
Siratinti	id=g:6875845
Yantéla	id=g:6875846
Gomnikouboi	id=g:6875847
Dianbougou	id=g:6875848
Sirmou	id=g:6875849
Worondjikoi	id=g:6875850
Tiékorabougou	id=g:6875851
Perla	id=g:6875852
Togoué	id=g:6875853
Yomi	id=g:6875854
Kouonda	id=g:6875855
Djiguiné	id=g:6875856
Diamonda	id=g:6875857
Ndobougou	id=g:6875858
Diaraga	id=g:6875859
Kéra	id=g:6875860
Vélingara	id=g:6875861
Roundé Sirou	id=g:6875862
Kammraga	id=g:6875863
Alamanté	id=g:6875864
Fokolore	id=g:6875865
Kotola	id=g:6875866
Payaba	id=g:6875867
Yirma	id=g:6875868
Konda	id=g:6875869
Débéna	id=g:6875870
Talia	id=g:6875871
