Temple Ner Tamid	id=g:6334684
Trinity Baptist Church	id=g:6334685
Downey Memorial Christian Church	id=g:6334686
Seventh Day Adventist Church	id=g:6334687
Immanuel Armenian Church	id=g:6334688
La Vina Christian Center	id=g:6334689
Los Angeles Southern Baptist Church	id=g:6334690
Iglesia Getsemani	id=g:6334691
First Church of Deliverance	id=g:6334692
Resurrection Life Center Church	id=g:6334693
Emmanuel Temple Church	id=g:6334694
South-Lyn Church of Christ	id=g:6334695
One Nation Under God Christian Church	id=g:6334696
All Peoples First Assembly Church	id=g:6334697
Pentecostal Church of God	id=g:6334698
True Vine Missionary Baptist Church	id=g:6334699
Gospel Light Fellowship Church	id=g:6334700
Consolation Church of God	id=g:6334701
Lynton Missionary Church	id=g:6334702
Pico Gardens Foursquare Church	id=g:6334703
Household of God Bibleway Church	id=g:6334704
El Salvador Church	id=g:6334705
Christ Deliverance Baptist Church	id=g:6334706
Bethesda Temple	id=g:6334707
Northside Church of Christ	id=g:6334708
Sacred Heart Church	id=g:6334709
Heavenly Rest Missionary Baptist Church	id=g:6334710
First Evergreen Missionary Church	id=g:6334711
Carver Foursquare Gospel Church	id=g:6334712
Saint Philip Lutheran Church	id=g:6334713
Allen Chapel Full Gospel Baptist Church	id=g:6334714
Agape International Center Outreach	id=g:6334715
Faith Community Church	id=g:6334716
Now Faith Fellowship Bible Church	id=g:6334717
Living Water Christian Fellowship Church	id=g:6334718
Living Rock Communtiy Baptist Church	id=g:6334719
Compton Community Seventh Day Adventist Church	id=g:6334720
Zion Baptist Evangelistic Temple	id=g:6334721
Greater Love Christian Outreach	id=g:6334722
Faithful Church of God in Christ	id=g:6334723
Curry Temple Christian Methodist Episcopal Church	id=g:6334724
First Baptist Church	id=g:6334725
Prater United Methodist Church	id=g:6334726
West Liberty Christian Church	id=g:6334727
Oak Hill Church of God	id=g:6334728
Yedarm Church in Southern California	id=g:6334729
Paramount Church	id=g:6334730
American Indian Bible Church	id=g:6334731
Church of Jesus Christ of Latter Day Saints	id=g:6334732
Fire Baptized Holiness Association	id=g:6334733
Shree Swami Narayan Temple	id=g:6334734
Family Christian Fellowship Church	id=g:6334735
Church of Jesus Christ of Latter Day Saints	id=g:6334736
Living Hope Church of Downey	id=g:6334737
Casa De Oracion	id=g:6334738
Kingdom Hall of Jehovah's Witnesses	id=g:6334739
New Generation Church	id=g:6334740
Lord's Grace Assembly Church	id=g:6334741
Greenwood Community Church	id=g:6334742
Park Lawn Evangelistic Center	id=g:6334743
Soldier of the Cross of Calvary Church	id=g:6334744
Centro Evanelico Cristiano	id=g:6334745
Bell Gardens Lutheran Church	id=g:6334746
Iglesia San Pedro Y San Pedro Pablo	id=g:6334747
Bell Gardens Church of the Nazarene	id=g:6334748
Bell Gardens Spanish Seventh Day Adventist Church	id=g:6334749
Indian Revival Church	id=g:6334750
Iglesia Apostilica Bell Gardens	id=g:6334751
Faith Ministries	id=g:6334752
South Gate Foursquare Church	id=g:6334753
Grace Bible Church	id=g:6334754
Kingdom Hall of Jehovah's Witnesses	id=g:6334755
Saint Margaret's Episcopal Church	id=g:6334756
South Gate Church of Christ	id=g:6334757
Church of Jesus Christ of Latter Day Saints	id=g:6334758
La Senda Antigua Iglesia	id=g:6334759
Centro Cristiano Rey De Gloria	id=g:6334760
Pentecostal Church of God	id=g:6334761
Iglesia Bautista El Redentor	id=g:6334762
Templo De Alabanza	id=g:6334763
New Starlight Tabernacle	id=g:6334764
Lynwood Grace Hispanic Church	id=g:6334765
Church of the Lord Jesus	id=g:6334766
Saint Thomas of Canterbury Episcopal Church	id=g:6334767
First Baptist Church of Lakewood	id=g:6334768
Lakewood Village Community Church	id=g:6334769
Bethany Lutheran Church	id=g:6334770
Discovery Church	id=g:6334771
