Rebo	id=g:7016090
Uwinyana	id=g:7016091
Kigarama	id=g:7016092
Gitwa	id=g:7016093
Marambo	id=g:7016094
Kavumu	id=g:7016095
Gasharu	id=g:7016096
Gashikili	id=g:7016097
Sovu	id=g:7016098
Nyakibungo	id=g:7016099
Umwaro	id=g:7016100
Mukura	id=g:7016101
Akagogo	id=g:7016102
Akaboti	id=g:7016103
Rwagishaya	id=g:7016104
Kiryamo	id=g:7016105
Uwamuhanya	id=g:7016106
Agatare	id=g:7016107
Rwanyamunwa	id=g:7016108
Gasumba	id=g:7016109
Rugomero	id=g:7016110
Kigogo	id=g:7016111
Kinnyogero	id=g:7016112
Butamu	id=g:7016113
Nyabwoma	id=g:7016114
Rundazi	id=g:7016115
Kibyagira	id=g:7016116
Mbuye	id=g:7016117
Gahango	id=g:7016118
Agahabwa	id=g:7016119
Kivuru	id=g:7016120
Sheke	id=g:7016121
Gituramigina	id=g:7016122
Gacumbi	id=g:7016123
Rwandemeye	id=g:7016124
Bugarama	id=g:7016125
Urusasa	id=g:7016126
Gatare	id=g:7016127
Rugege	id=g:7016128
Munanira	id=g:7016129
Ngoma	id=g:7016130
Ryabidandi	id=g:7016131
Mujahu	id=g:7016132
Kagano	id=g:7016133
Mashya	id=g:7016134
Ruhororo	id=g:7016135
Mukabere	id=g:7016136
Muduha	id=g:7016137
Kimena	id=g:7016138
Rwamabare	id=g:7016139
Rwambulira	id=g:7016140
Rulindi	id=g:7016141
Rubona	id=g:7016142
Kabatimba	id=g:7016143
Gashayo	id=g:7016144
Coko	id=g:7016145
Kinyaga	id=g:7016146
Cyahinda	id=g:7016147
Gasare	id=g:7016148
Maraba	id=g:7016149
Agahabwe	id=g:7016150
Gacumu	id=g:7016151
Kigarama	id=g:7016152
Nyarwufe	id=g:7016153
Gahabwa	id=g:7016154
Buhunga	id=g:7016155
Nyakagezi	id=g:7016156
Nyarugano	id=g:7016157
Rushunguliro	id=g:7016158
Gisenyi	id=g:7016159
Ngeli	id=g:7016160
Giheta	id=g:7016161
Rwinanka	id=g:7016162
Kaganda	id=g:7016163
Kijeje	id=g:7016164
Agataba	id=g:7016165
Gisozi	id=g:7016166
Nyambaragasa	id=g:7016167
Kigina	id=g:7016168
Kagera	id=g:7016169
Yaramba	id=g:7016170
Ruhuma	id=g:7016171
Gitega	id=g:7016172
Akankuba	id=g:7016173
Gitara	id=g:7016174
Mpinga	id=g:7016175
Gasasa	id=g:7016176
Gatyazo	id=g:7016177
Rwandagaye	id=g:7016178
Gisizi	id=g:7016179
Kanyegenyege	id=g:7016180
Kirwa	id=g:7016181
Kavumu	id=g:7016182
Kigogo	id=g:7016183
Ruko	id=g:7016184
Ruseke	id=g:7016185
Ruhezankono	id=g:7016186
