Bérétékounda	id=g:2460109
Bérémassou	id=g:2460110
Béréli	id=g:2460111
Bérélé	id=g:2460112
Bérélé	id=g:2460113
Bérékoussa Dioma	id=g:2460114
Bérékoma	id=g:2460115
Béréko	id=g:2460117
Bérékégni	id=g:2460118
Berékantounbo	id=g:2460119
Bérégoungou	id=g:2460120
Bérédji Kourou	id=g:2460121
Bérébougoula	id=g:2460122
Bérébogola	id=g:2460123
Berdossou	id=g:2460124
Béra	id=g:2460125
Issa Ber	id=g:2460126
Bèr	id=g:2460127
Oualet Benzéna	id=g:2460128
Benzasso	id=g:2460129
Bényoko	id=g:2460130
Bényéna	id=g:2460131
Bènian	id=g:2460132
Bentia	id=g:2460133
Bénoudakoto	id=g:2460134
Benngourla	id=g:2460135
Benndiéli	id=g:2460136
Bennbara	id=g:2460137
Binké-Salima	id=g:2460138
Beniouma	id=g:2460139
Bènguèni	id=g:2460140
Béni	id=g:2460141
Bèngo	id=g:2460142
Bénénikényi	id=g:2460143
Bénéna	id=g:2460144
Bénéna	id=g:2460145
Bené-Banguya	id=g:2460146
Bendougou	id=g:2460147
Bendougou	id=g:2460148
Bendorobougou	id=g:2460149
Benda	id=g:2460150
Béna	id=g:2460151
Bèna	id=g:2460152
Béna	id=g:2460153
Bèn	id=g:2460154
Binbougou	id=g:2460155
Bemmbokoto	id=g:2460156
Bémasso	id=g:2460157
Béma	id=g:2460158
Béma	id=g:2460159
Bélou	id=g:2460160
Bellassao Zeyna	id=g:2460161
Bellassao Djinguina	id=g:2460162
Bélidinkaré	id=g:2460163
Bélia	id=g:2460164
Belga	id=g:2460165
Bélétéla	id=g:2460166
Bélesso	id=g:2460167
Bèlèninko	id=g:2460168
Béléninko	id=g:2460169
Béléni	id=g:2460170
Bélénéko	id=g:2460171
Belel	id=g:2460172
Bélèl	id=g:2460173
Bélékou	id=g:2460174
Bélékosso	id=g:2460175
Béléko-Soba	id=g:2460176
Bété Kolé	id=g:2460177
Béléko-Gwénguéna	id=g:2460178
Béléko-Flala	id=g:2460179
Béléko	id=g:2460180
Béléko	id=g:2460181
Béléko	id=g:2460182
Bèlèkobougou	id=g:2460183
