Égalah	id=g:6398012
Ébarakane	id=g:6398013
Tchimitene	id=g:6398014
Taïrourene	id=g:6398015
Tchiggoûrene	id=g:6398016
Tagha	id=g:6398017
Taghéris	id=g:6398018
Tchorodoumas	id=g:6398019
Tchiggourene	id=g:6398020
Tchou-n-Elmétane	id=g:6398021
Aoudénak	id=g:6398022
Tessouf	id=g:6398023
Téouat	id=g:6398024
Tamazane	id=g:6398025
Adrar Tessouf	id=g:6398026
Téouat	id=g:6398027
Ezamal	id=g:6398028
Taghimachit	id=g:6398029
Tchou-n-Elmétane	id=g:6398030
Abiggui	id=g:6398031
Aguelougal	id=g:6398032
Malletas	id=g:6398033
Teghazar	id=g:6398034
Teghazar	id=g:6398035
Teghazar	id=g:6398036
I-n-Tinerane	id=g:6398037
Oumbarï	id=g:6398038
Gabaret	id=g:6398039
Ouamîl	id=g:6398040
I-n-Izakad	id=g:6398041
Ouamîl	id=g:6398042
Aghaïtom Taguei	id=g:6398043
I-n-Tobermene	id=g:6398044
Ti-n-Azenane	id=g:6398045
Aza-n-Eres	id=g:6398046
Fahi	id=g:6398047
Ti-n-Tassaka	id=g:6398048
Arèlou	id=g:6398049
I-n-Tédeïni	id=g:6398050
Tchorodoumas	id=g:6398051
Adebdeb Idegazane	id=g:6398052
Adebdeb	id=g:6398053
I-n-Gagguene	id=g:6398054
I-n-Tchilobine	id=g:6398055
Ânou Mekkerene	id=g:6398056
Tchilogayene	id=g:6398057
Tess Tiganet	id=g:6398058
Mouézout	id=g:6398059
Émarka	id=g:6398060
Imenâne Nadene	id=g:6398061
Tadegha	id=g:6398062
Tagdem	id=g:6398063
I-n-Aghellachchem	id=g:6398064
Adrak I-n-Taghéris	id=g:6398065
Adrar I-n-Zazzene	id=g:6398066
Tchissek	id=g:6398067
Ofene	id=g:6398068
Safout	id=g:6398069
Amânnad	id=g:6398070
Aritaoua	id=g:6398071
Eriyi	id=g:6398072
Aritaoua	id=g:6398073
Tagha	id=g:6398074
Taghéris	id=g:6398075
Akourrou-n-Akourrou	id=g:6398076
Tchimaza-n-Tagueï	id=g:6398077
Tchimaza-n-Tagueï	id=g:6398078
Taléghat	id=g:6398079
Tchimiddene	id=g:6398080
Garam	id=g:6398081
Aberad	id=g:6398082
Akerebreb	id=g:6398083
Goum	id=g:6398084
Ténugharit	id=g:6398085
Abarakane	id=g:6398086
Akerebreb	id=g:6398087
I-n-Derizane	id=g:6398088
Teghazer	id=g:6398089
Tîmia	id=g:6398090
Tékarkar	id=g:6398091
Terza	id=g:6398092
Imanélene	id=g:6398093
I-n-Efíssak	id=g:6398094
Tchiguider	id=g:6398095
Ouélet	id=g:6398096
I-n-Ararbo	id=g:6398097
Tchi-n-Taralé	id=g:6398098
I-n-Tadeïni	id=g:6398099
Echichoui	id=g:6400004
Ekeskes	id=g:6400005
Ekeskes	id=g:6400006
Gouloukou	id=g:6400007
Gouloukou	id=g:6400008
Ingâl	id=g:6400009
Bagzane	id=g:6400010
Tarat	id=g:6400011
Tamgak	id=g:6400012
Tchighalalene	id=g:6400013
Tchi-n-Taboûrak	id=g:6400014
Tchiralato	id=g:6400015
Arakaou	id=g:6400016
Kofa	id=g:6400017
Jékaouil	id=g:6400018
Talaouélaoué	id=g:6400019
Zakara	id=g:6400020
Assangou	id=g:6400021
Izenga	id=g:6400022
Zourtou	id=g:6400023
Tessa-n-Takanaï	id=g:6400024
Tagguermet	id=g:6400025
Alallaka	id=g:6400026
Ibel	id=g:6400027
Tassa-n-Abardagh	id=g:6400028
I-n-Tchiguirane	id=g:6400029
Okofou	id=g:6400030
Tamangouye	id=g:6400031
Tagguermat	id=g:6400032
Ourtegguine	id=g:6400033
Ti-n-Jilal	id=g:6400034
Abaïkos	id=g:6400035
Tamakrat	id=g:6400036
I-n-Agoulgoul	id=g:6400037
Tagueït	id=g:6400038
Tchigayene	id=g:6400039
Ibel	id=g:6400040
Adrar-n-Arabene	id=g:6400041
Tessa-n-Toulloult	id=g:6400042
I-n-Ouadad	id=g:6400043
Tégguiguert	id=g:6400044
Éghazar-n-Anou	id=g:6400045
Faoua	id=g:6400046
Tchournousselli	id=g:6400047
Zagado	id=g:6400048
I-n-Toullouli	id=g:6400049
Tamaïtek	id=g:6400050
Kiiaou	id=g:6400051
Tafassas	id=g:6400052
Tafassas	id=g:6400053
I-n-Agane	id=g:6400054
Tessa-n-Taggart	id=g:6400055
Arakaou	id=g:6400056
Takachouakat	id=g:6400057
Arakaou	id=g:6400058
Étaghas-n-Frigâl	id=g:6400059
I-m-Boraghane	id=g:6400060
Taghmert	id=g:6400061
Zouaghane	id=g:6400062
Tedobag	id=g:6400063
Tchoumousselli	id=g:6400064
Tcheska	id=g:6400065
Taghmert	id=g:6400066
I-n-Guézou	id=g:6400067
Zaners	id=g:6400068
Taraït-n-Taroûrit	id=g:6400069
Tilemsane	id=g:6400070
Ajioua	id=g:6400071
Ajioua	id=g:6400072
Essogh	id=g:6400073
Aguelik	id=g:6400074
Tsarakou	id=g:6400075
