La Rosetta	id=g:6472838
Capo Dorso Palau	id=g:6472839
Cala Di Falco Cannigione	id=g:6472840
Residence Cala Di Falco Cannigione	id=g:6472841
Bagliori	id=g:6472842
Golden Tulip Kraft	id=g:6472843
Minerva	id=g:6472845
Locanda Sturion	id=g:6472891
Soperga	id=g:6472892
Carrobbio	id=g:6472893
3 Torri	id=g:6472898
De La Ville	id=g:6472900
Light Blue	id=g:6472908
Jolly Hotel	id=g:6472914
Palazzo Sant' Angelo	id=g:6472917
Boscolo Hotel Dei Dogi	id=g:6472918
Kette	id=g:6472919
Borgo Saraceno	id=g:6472920
Auriga	id=g:6472921
Cellai	id=g:6472922
Borromeo Hotel	id=g:6472940
Villa Tuscolana	id=g:6472976
Grand Hotel Liberty	id=g:6472982
Arcadia	id=g:6472984
Cavalleto E Doge Orseolo	id=g:6472987
Nova Domus	id=g:6472988
Del Real Orto Botanico	id=g:6472989
Marguerita	id=g:6472990
Club Hotel Milan	id=g:6472991
Gritti	id=g:6472992
Porta San Mamolo	id=g:6472993
Hotel Mercure Bologna Centro	id=g:6473009
Lux	id=g:6473036
Corte del Naviglio	id=g:6473037
Millennium	id=g:6473041
Sheraton Catania	id=g:6473053
Atlanta Agustus	id=g:6473055
Forte Capellini	id=g:6473056
Santa Lucia	id=g:6473057
Grand Baglioni	id=g:6473058
Boscolo Tower	id=g:6473059
Dal Moro Gallery	id=g:6473060
Hotel San Cassiano Ca'Favretto	id=g:6473067
Boscolo Hotel de la Ville	id=g:6473092
Meridiana	id=g:6473102
Cavour	id=g:6473104
Tempio di Pallade	id=g:6473129
Waldorf	id=g:6473130
Grand di Rimini	id=g:6473131
Medici	id=g:6473132
Fleming Florence	id=g:6473133
Regina	id=g:6473134
The Westin Excelsior, Venice Lido Resort	id=g:6473165
Holiday Inn Milan-Linate Airport	id=g:6473184
Principe	id=g:6473189
Cristallino	id=g:6473197
Kennedy	id=g:6473203
Stendhal	id=g:6473204
Excelsior Palace	id=g:6473207
Green House Laguna	id=g:6473209
Metropole Venice	id=g:6473210
Summit Roma Hotel	id=g:6473211
American	id=g:6473212
Colombia	id=g:6473213
De La Ville	id=g:6473214
Executive Milan	id=g:6473215
Delle Nazioni	id=g:6473216
Select Hotel	id=g:6473217
J K Place	id=g:6473218
Rivoli-Florence	id=g:6473219
Grand Hotel Et De Milan	id=g:6473548
Sheraton Diana Majestic Hotel	id=g:6474121
De Rose Palace Hotel	id=g:6474479
Golden Tulip Moderno Verdi	id=g:6474485
Grand Hotel Baglioni	id=g:6474588
Hotel Des Bains Venice Lido	id=g:6474916
Cervo Hotel Costa Smeralda Rst	id=g:6475210
Cosmo Hotel Torri	id=g:6475216
Hotel Olimpia	id=g:6475330
Golden Tulip Waldorf Hotel	id=g:6475404
Carlton Capri Hotel	id=g:6475420
Sporting Hotel	id=g:6475522
Barchetta Excelsior	id=g:6475652
Britannia Hotel	id=g:6475698
Abbazia Hotel	id=g:6475721
Mercure Napoli Angioino Centro	id=g:6475914
Hotel Rex	id=g:6476086
Grand Hotel di Como	id=g:6476108
Le Boulevard	id=g:6476395
Hotel Majestic	id=g:6476480
Regina Hotel	id=g:6476634
Plaza Hotel	id=g:6476799
Sofitel Firenze	id=g:6476877
Grand Hotel Mediterraneo	id=g:6476962
Hotel Imperiale	id=g:6477209
Albergo Reiter	id=g:6477524
Hotel Mozart	id=g:6477580
Jolly Hotel Cagliari	id=g:6477589
Air Hotel Milano Linate	id=g:6477595
Summit Roma Hotel	id=g:6477601
Calzaiuoli Hotel	id=g:6477702
Bettoja Relais Certosa Hotel	id=g:6477778
Hotel Giorgione	id=g:6477796
Colomba D'Oro Hotel	id=g:6477881
ADI Grand Hotel Doria	id=g:6478046
Brunelleschi Hotel - A Summit Hotel	id=g:6478174
Hotel Accademia	id=g:6478214
Una Hotel Mediterraneo	id=g:6478215
Starhotels President	id=g:6478225
Grand Hotel Des Iles Borromees	id=g:6478398
Hotel Metropole	id=g:6478677
Una Hotel Century	id=g:6478694
Bonvecchiati Hotel	id=g:6478867
Hotel Regent	id=g:6479002
Mercure Delta Colosseo	id=g:6479018
Una Hotel Bergamo	id=g:6479268
Park Hotel	id=g:6479556
Victoria Hotel	id=g:6479557
Best Western Milton Hotel	id=g:6479585
Hotel d'Inghilterra	id=g:6479648
Jolly Hotel Cavalieri	id=g:6479704
Novotel Bologna San Lazzaro	id=g:6479759
Una Hotel Scandinavia	id=g:6479807
Pinewood Hotel Rome	id=g:6479867
Boscolo Hotel Bellini	id=g:6479871
Hotel Grand hotel Minerva	id=g:6479872
Starhotels Business Palace	id=g:6479894
Boutique Hotel Firenze	id=g:6479897
Bernini Bristol - A SINA HOTEL	id=g:6479953
Santa Chiara Hotel	id=g:6479994
Hotel Brunelleschi	id=g:6479995
Hotel Londra Palace	id=g:6480038
Hotel Gambrinus	id=g:6480146
Royal Garden Hotel	id=g:6480188
Roxy Hotel	id=g:6480227
Palace - A Boscolo First Class Hotel	id=g:6480229
Tulip Inn Delle Nazioni	id=g:6480242
Hotel Porta Palio	id=g:6480320
Grand Hotel Rimini e Residenza	id=g:6480340
Hotel Villa Flori	id=g:6480344
Helvetia And Bristol	id=g:6480407
Ambassador Tre Rose Hotel	id=g:6480419
Perusia  E La Villa Hotel	id=g:6480436
Novotel Milan Nord Ca Granda	id=g:6480454
Novotel Milano Linate Aeroporto	id=g:6480456
Dei Borgognoni Hotel	id=g:6480470
Astoria, A Boscolo First Class Hotel	id=g:6480546
Hotel De La Ville	id=g:6480590
Grand Hotel Cavour	id=g:6480603
Ambasciatori Palace Hotel	id=g:6480775
Starhotels Tourist	id=g:6480792
Ramada Rimini	id=g:6480877
Golden Tulip Hotel Manin	id=g:6480886
Hotel Veneto	id=g:6480938
Mercure Milano Corso Genova	id=g:6481018
Suite Hotel Nyala	id=g:6481093
Hotel Adam	id=g:6481172
Hotel Ancora	id=g:6481185
Gabrielli Sandwirth Hotel	id=g:6481223
Palace Maria Luigia - A SINA HOTEL	id=g:6481268
Hotel Aldrovandi Palace-The Leading Hotels of the World	id=g:6481294
Hotel Florida	id=g:6481365
Princess Hotel	id=g:6481449
Grand Hotel Olympic- Aurum Hotel	id=g:6481461
Albergo Cesari Hotel	id=g:6481519
Four Points by Sheraton Milan Center	id=g:6481558
Bristol Palace Hotel	id=g:6481580
Grand Hotel Majestic	id=g:6481604
Hotel Ripa	id=g:6481636
Hotel De la Ville - A SINA HOTEL	id=g:6481707
Golden Tulip Mirage Hotel	id=g:6481710
Alba Hotel	id=g:6481764
Una Hotel Lodi	id=g:6481820
Albergo Cavalletto E Doge Orseolo	id=g:6481933
Hotel La Residenza	id=g:6482082
Aurora Garden Hotel	id=g:6482135
vale & vale	id=g:6482204
Hotel Quirinale	id=g:6482254
simpatia massalongo	id=g:6482259
waldorf Palace hotel	id=g:6482286
sant'efisio	id=g:6482311
la fontana dell'amenano B&B	id=g:6482393
Starhotels Tuscany	id=g:6482449
Jolly Hotel Ancona	id=g:6482465
St. George Hotel	id=g:6482511
la  dimora del genio	id=g:6482535
Montebello Splendid Hotel	id=g:6482550
Grand Hotel Excelsior Vittoria	id=g:6482580
romalighthouse	id=g:6482581
Jolly Hotel Florence	id=g:6482685
Jolly Hotel Ravenna	id=g:6482739
Hotel Monaco & Grand Canal - A Summit Hotel	id=g:6482752
Giolli Hotel	id=g:6482795
Best Western Roma Globus	id=g:6482807
Bolivar Hotel	id=g:6482815
Starhotels Majestic	id=g:6482861
il Forno Antico	id=g:6482898
Starhotels Metropole	id=g:6482918
Royal Hotel Carlton	id=g:6482935
De La Pace Hotel	id=g:6482959
le rondini b&b	id=g:6482979
Jolly Hotel Vittorio Veneto	id=g:6482991
piazzasantoronzo B&B	id=g:6483040
Croce Di Malta Hotel	id=g:6483151
Jolly Hotel Napoli	id=g:6483205
NH Anglo American	id=g:6483240
laguna 2	id=g:6483259
Starhotels Excelsior	id=g:6483414
Jolly Hotel Delle Terme	id=g:6483467
Jolly Hotel Caserta	id=g:6483471
il labirinto B&B isola di Ortigia	id=g:6483498
Hotel Barocco	id=g:6483509
paradiso selvaggio residence	id=g:6483514
Jolly Hotel Palermo	id=g:6483572
Starhotels Splendido	id=g:6483581
villa cefalà	id=g:6483598
Tritone Hotel	id=g:6483645
Euromotel Croce Bianca	id=g:6483678
Grand Hotel Duomo	id=g:6483696
Ata Hotel Fiera Milano	id=g:6483705
locanda ca' amadi	id=g:6483761
Hotel American-Dinesen	id=g:6483766
Mirage Hotel	id=g:6483781
villaggio turistico alessidamo club	id=g:6483834
Jolly Hotel Touring	id=g:6483862
Jolly Hotel Ligure	id=g:6483958
maison genevois 3 B&B	id=g:6483960
Michelangelo Hotel	id=g:6484000
villa poggio san felice	id=g:6484046
solunto bed & breakfast	id=g:6484102
Grand Hotel Plaza	id=g:6484166
Villa Carlotta Hotel	id=g:6484169
residence Miramonti	id=g:6484203
Jolly Hotel President	id=g:6484263
Atlante Garden Hotel	id=g:6484326
Starhotels Ritz	id=g:6484340
stadiohotel	id=g:6484401
prati b&b	id=g:6484413
villaggio turistico akiris	id=g:6484422
Starhotels Splendid Suisse	id=g:6484445
il Centro storico di  Villa Elisabetta	id=g:6484534
villa massalubrense sorrento	id=g:6484570
Atlante Star Hotel	id=g:6484617
san martino	id=g:6484654
Hotel Raphael	id=g:6484663
Jolly Hotel Salerno	id=g:6484667
Hotel Roma	id=g:6484725
le tre suites	id=g:6484792
Internazionale Hotel	id=g:6484794
Antico Panada	id=g:6484805
Residenza del Duca	id=g:6484821
Hotel Villaggio Tonicello	id=g:6484823
Hotel Simplon - Zacchera Hotels	id=g:6484829
Locanda le Mandriane	id=g:6484830
Hotel Sporting	id=g:6484831
Hotel Stefan	id=g:6484832
J and J hotel	id=g:6484833
La Piana Chalet	id=g:6484835
Hotel Holidays	id=g:6484836
Hotel Florida	id=g:6484840
Residence Tasso	id=g:6484843
Hotel Giusy	id=g:6484847
Hotel Luxor Roma	id=g:6484853
Ristorante Del Gigio- affittacamere	id=g:6484854
Hotel Gorizia a La Valigia	id=g:6484856
Hotel Giulietta	id=g:6484857
Jolly Hotel Marina	id=g:6484859
Hotel Rina Club	id=g:6484862
Il Casale Le Tre Volte	id=g:6484863
Hotel Venezia	id=g:6484865
Starhotels Savoia Excelsior	id=g:6484866
Roman Villa Silj	id=g:6484868
Hotel Garda  Roma - Via Veneto	id=g:6484869
Hotel Costazzurra	id=g:6484872
Hotel Turismo	id=g:6484876
Villa Elisa Casa Vacanze	id=g:6484877
Relais Palazzo di Luglio	id=g:6484878
Villa Angelica	id=g:6484882
Hotel Telstar	id=g:6484884
Hotel Galles	id=g:6484893
Hotel Enrichetta	id=g:6484894
Residence - Appartamenti Corte Vecellio	id=g:6484895
Hotel Il Convento	id=g:6484897
Nuovo Albergo Centro	id=g:6484899
Hotel Romae	id=g:6484902
Villa il Tesoro	id=g:6484908
Hotel Pierre Milano	id=g:6484916
Hotel Giardino	id=g:6484917
Hotel and Residence Suite Duomo	id=g:6484918
My Hotels Il Borghetto	id=g:6484922
Park Hotel Centro congressi	id=g:6484923
Hotel Royal Palace	id=g:6484928
Hotel Villa Angela Terme	id=g:6484932
Hotel Atlantide	id=g:6484933
Hotel San Luca	id=g:6484936
Hotel Eurostars Toscana	id=g:6484938
Hotel Villa dei Fiori	id=g:6484939
Hotel Concordia	id=g:6484941
NH Laguna Palace - Building B	id=g:6484942
Roma dei Papi-Hotel de Charme	id=g:6484945
Hotel Villa Xenia	id=g:6484946
Starhotels Vespucci	id=g:6484947
Hotel Panoramic	id=g:6484948
casa vacanza villa malamerenda	id=g:6484949
