Insarro	id=g:334138
Ineguha	id=g:334139
Innamora	id=g:334140
Inmeda	id=g:334141
Inkway Beret	id=g:334142
Īnk’uftu YeTerara Senselet	id=g:334143
Inkoy Wenz	id=g:334144
Inkoy Shet’	id=g:334145
Ink’ok’o	id=g:334146
Inkiyē Shet’	id=g:334147
Ink’it Āmba	id=g:334148
Īnkēsē	id=g:334149
Inkera Bota	id=g:334150
Injoj Shet’	id=g:334151
Injibara	id=g:334152
Injerer	id=g:334153
Injafat	id=g:334155
Inine Maryam Bēte Kristīyan	id=g:334156
Inine	id=g:334157
Inine	id=g:334158
Inguya Shet’	id=g:334159
Inguleyta Maryam Bēte Kristīyan	id=g:334160
Inguleyta	id=g:334161
Īngudetu Tekil	id=g:334162
Ingudada	id=g:334163
Ingudada	id=g:334164
Ingoyē	id=g:334165
Ingofē Mīka’ēl Bēte Kristīyan	id=g:334166
Ingofē	id=g:334167
Ingirī Shet’	id=g:334168
Ingirī Shet’	id=g:334169
Ingia	id=g:334170
Tulu Inghi	id=g:334171
Ingalta	id=g:334172
Info Mīka’ēl Bēte Kristīyan	id=g:334174
Info	id=g:334175
Infara	id=g:334176
Inewarī	id=g:334177
Ineshirbo Medhanē ‘Alem Bēte Kristīyan	id=g:334178
Ineshirbo	id=g:334179
Inesē Bota	id=g:334180
Inēsa	id=g:334181
Inenk’a Gebri’ēl Bēte Kristīyan	id=g:334182
Inemay	id=g:334183
Inemay	id=g:334184
Inegwal Fasīledīs Bēte Kristīyan	id=g:334185
Inegwal	id=g:334186
Inegura	id=g:334187
Ine Gofo	id=g:334188
Inebrē Bota	id=g:334189
Indrīs Shet’	id=g:334190
Indrīs Shet’	id=g:334191
Indrīs Hulaban	id=g:334192
Indot’ī	id=g:334193
Indod Washa Āregay Bēte Kristīyan	id=g:334194
Indodo	id=g:334195
Indodē Terara	id=g:334196
Indodē	id=g:334197
Indodē	id=g:334198
Indod	id=g:334199
Indod	id=g:334200
Indo	id=g:334201
Indizo Shet’	id=g:334202
Indirtya Igzī’ābhēr Āb Bēte Kristīyan	id=g:334203
Indirtya	id=g:334204
Indirk’an	id=g:334205
Indiriya Silasē Bēte Kristīyan	id=g:334206
Īdirīsa Āmba Shet’	id=g:334207
Indiras	id=g:334208
Īndīna Shet’	id=g:334209
Indibir Maryam Bēte Kristīyan	id=g:334210
Indibir Katolīk Mīsīyon	id=g:334211
Indibir	id=g:334212
Indibina	id=g:334213
