Pleasant Ridge Middle School	id=g:6327974
Prairie Elementary School	id=g:6327975
Prairie Ridge Elementary School	id=g:6327976
Prairie Star Elementary School	id=g:6327977
Prairie Star Middle School	id=g:6327978
Mize Elementary School	id=g:6327979
Monticello Trails Middle School	id=g:6327980
Broken Arrow Elementary School	id=g:6327981
Brookwood Elementary School	id=g:6327982
Brougham Elementary School	id=g:6327983
California Trail Junior High School	id=g:6327984
Canterbury Preparatory School	id=g:6327985
Cedar Creek Elementary School	id=g:6327986
Cedar Hills Elementary School	id=g:6327987
Childrens Village Child Care	id=g:6327988
Christ Lutheran School	id=g:6327989
Chisholm Trail Junior High School	id=g:6327990
Christa Mcauliffe Elementary School	id=g:6327991
Clear Creek Elementary School	id=g:6327992
Clearwater Creek Elementary School	id=g:6327993
Comanche Elementary School	id=g:6327994
Cottonwood Point Elementary School	id=g:6327995
De Soto High School	id=g:6327996
Dorothy Moody Elementary School	id=g:6327997
Accelerated High School	id=g:6327998
Antioch Middle School	id=g:6327999
Arbor Creek Elementary School	id=g:6328000
Ascension School	id=g:6328001
Berean Christian School	id=g:6328002
Bethany Lutheran School	id=g:6328003
Black Bob Elementary School	id=g:6328004
Blue River Elementary School	id=g:6328005
Blue Valley High School	id=g:6328006
Blue Valley Middle School	id=g:6328007
Blue Valley North High School	id=g:6328008
Blue Valley Northwest High School	id=g:6328009
Blue Valley West High School	id=g:6328010
Bonjour Elementary School	id=g:6328011
Briarwood Elementary School	id=g:6328012
Frontier Trail Junior High School	id=g:6328013
Good Shepherd School	id=g:6328014
Green Springs Elementary School	id=g:6328015
Harmony Elementary School	id=g:6328016
Holy Trinity Orthodox Church of Kansas City	id=g:6328017
Bayport Elementary School	id=g:6328018
Wells Township School	id=g:6328019
K I Sawyer School	id=g:6328020
Leo P McDonald School	id=g:6328021
Glenview New Church School	id=g:6328022
Holy Spirit Catholic School	id=g:6328023
Hope Lutheran School	id=g:6328024
Hyman Brand Hebrew Academy	id=g:6328025
Indian Trail Junior High School	id=g:6328026
Indian Valley Elementary School	id=g:6328027
Indian Woods Middle School	id=g:6328028
Johnson County Montessori School	id=g:6328029
Diemer Elementary School	id=g:6328030
Shawnee Mission Instructional Support Center	id=g:6328031
Kedesh Academy	id=g:6328032
Kansas City Christian School	id=g:6328033
Kansas State Elementary School for the Deaf	id=g:6328034
Kansas State High School for the Deaf	id=g:6328035
Lakewood Elementary School	id=g:6328036
Lakewood Middle School	id=g:6328037
Leawood Elementary School	id=g:6328038
Leawood Middle School	id=g:6328039
Lexington Trails Middle School	id=g:6328040
Liberty View Elementary School	id=g:6328041
Mahaffie Elementary School	id=g:6328042
Manchester Park Elementary School	id=g:6328043
Maranatha Academy	id=g:6328044
Harmony Middle School	id=g:6328045
Havencroft Elementary School	id=g:6328046
Heartland Elementary School	id=g:6328047
Heatherstone Elementary School	id=g:6328048
Heritage Elementary School	id=g:6328049
Horizon Academy	id=g:6328050
