Al Qusum	id=g:173315
Al Quşbīyah	id=g:173316
Al Quşayrīyah	id=g:173317
Al Quşayr	id=g:173318
Maḩaţţat al Quşayr	id=g:173319
Al Quşayr	id=g:173320
Al Quşayr	id=g:173321
Al Quşayr	id=g:173322
Al Quşayr	id=g:173323
Minţaqat al Quşayr	id=g:173324
Al Quşaybah	id=g:173325
Al Quşaybah	id=g:173326
Al Qurayyā	id=g:173327
Al Qurayyāt	id=g:173328
Al Qurayyāt	id=g:173329
Al Qurayyah	id=g:173330
Al Qurayyah	id=g:173331
Al Qurayn	id=g:173332
Al Qur‘ānīyah	id=g:173333
Al Qunayţirah	id=g:173334
Minţaqat al Qunayţirah	id=g:173335
Muḩāfaz̧at al Qunayţirah	id=g:173336
Al Qumqum	id=g:173337
Al Qulaylah	id=g:173338
Al Qulayḩah	id=g:173339
Al Qulay‘ah	id=g:173340
Al Qulay‘ah	id=g:173341
Al Qubayr	id=g:173342
Al Qubaybah	id=g:173343
Al Qīnah	id=g:173344
‘Ālqīn	id=g:173345
Al Qawlah	id=g:173346
Al Qāţūs	id=g:173347
Al Qatoûné	id=g:173348
Al Qaţar	id=g:173349
Al Qaţ‘ā	id=g:173350
Al Quţ‘ah	id=g:173351
Al Qasţrūm	id=g:173352
Al Qasţal	id=g:173353
Al Qaşşah	id=g:173354
Al Qaşr	id=g:173355
Al Qaşr	id=g:173356
Al Qaşr	id=g:173357
Al Qasmor	id=g:173358
Al Qāsimīyah	id=g:173359
Al Qaşab	id=g:173360
Al Qaryatayn	id=g:173361
Al Qārūţīyah	id=g:173362
Al Qarrāmah	id=g:173363
Al Qardāḩah	id=g:173364
Minţaqat al Qardāḩah	id=g:173365
Al Qarandaḩ	id=g:173366
Al Qārah	id=g:173367
Al Qarah	id=g:173368
Al Qar‘ah	id=g:173369
Al Qar‘ā’	id=g:173370
Al Qanna‘bah	id=g:173371
Al Qanawāt	id=g:173372
Al Qanāţir	id=g:173373
Al Qanāţir	id=g:173374
Al Qanāfidh	id=g:173375
Al Qanāfidh	id=g:173376
Al Qāmishlī	id=g:173377
Minţaqat al Qāmishl	id=g:173378
Al Qaltah	id=g:173379
Al Qallūf	id=g:173380
Al Qalā’i‘	id=g:173381
Al Qal‘ah	id=g:173382
Al Qal‘ah	id=g:173383
Al Qal‘ah	id=g:173384
Al Qal‘ah	id=g:173385
Al Qā’ir	id=g:173386
Al Qaḩţānīyah	id=g:173387
Al Qadr	id=g:173388
Al Qadmūs	id=g:173389
Al Qādirīyah	id=g:173390
Al Qāḑī Bilbān	id=g:173391
Al Qāḑī	id=g:173392
