Rugar	id=g:6998460
Kuma	id=g:6998462
Jabaro	id=g:6998463
Rugar Jibir	id=g:6998464
Kuwatau	id=g:6998465
Makera	id=g:6998467
Tafashiya	id=g:6998468
Laure	id=g:6998469
Makera	id=g:6998470
Ba’awa	id=g:6998471
Yankaura	id=g:6998472
Tsini	id=g:6998473
Badalle	id=g:6998474
Magama	id=g:6998475
Gaiwa	id=g:6998476
Gizaki	id=g:6998477
Bardaya	id=g:6998478
Zango	id=g:6998479
Sako	id=g:6998480
Dambuna	id=g:6998481
Shadawa	id=g:6998482
Gidan Gari	id=g:6998483
Dagaji	id=g:6998484
Daye	id=g:6998485
Ringin Bauchi	id=g:6998486
Duduni	id=g:6998487
Radi	id=g:6998488
Gwanza	id=g:6998489
Taiba	id=g:6998490
Doka	id=g:6998491
Gaci	id=g:6998492
Kwandawa	id=g:6998493
Arahiya	id=g:6998494
Dandoro	id=g:6998495
Kaikai	id=g:6998496
Dora	id=g:6998497
Gantarbi	id=g:6998498
Baurawa	id=g:6998499
Aganta	id=g:6998500
Yaganji	id=g:6998501
Daura	id=g:6998502
Rugar Wake	id=g:6998503
Yakasai	id=g:6998504
Kafin Kwarare	id=g:6998505
Gawaji	id=g:6998506
Yanuku	id=g:6998507
Burtu	id=g:6998508
Bagga	id=g:6998509
Kwarawa	id=g:6998510
Safana	id=g:6998511
Salgoriya	id=g:6998512
Kufan Agga	id=g:6998513
Ajiwa	id=g:6998514
Barkiya	id=g:6998515
Daganya	id=g:6998516
Dan Jakko	id=g:6998517
Koda Jalli	id=g:6998518
Sabongari	id=g:6998519
Cediya	id=g:6998520
Baniyo	id=g:6998521
Gidan Baiye	id=g:6998522
Dokau	id=g:6998523
Kirkini	id=g:6998524
Fararu	id=g:6998525
Kurkur	id=g:6998526
Jaka	id=g:6998527
Gamda	id=g:6998528
Kukiya	id=g:6998529
Majen-Waya	id=g:6998530
Sagawa	id=g:6998531
Dan Yadawa	id=g:6998532
Yan Yabi	id=g:6998533
Barawa Forest Reserve	id=g:6998534
Kabakawa Forest Reserve	id=g:6998535
Danmanau Forest Reserve	id=g:6998536
Tsanni Forest Reserve	id=g:6998537
Tama Forest Reserve	id=g:6998538
Koda Forest Reserve	id=g:6998539
Radda Forest Reserve	id=g:6998540
River Yeska	id=g:6998541
River Dan Daroshe	id=g:6998542
River Bello	id=g:6998543
River Are	id=g:6998544
River Shabiya	id=g:6998545
River Dakau	id=g:6998546
River Soko	id=g:6998547
Rugar Auo	id=g:6998548
Dorogo	id=g:6998549
Kwamgo	id=g:6998550
Duru	id=g:6998551
Gajema	id=g:6998552
Baganzamawa	id=g:6998553
Zango	id=g:6998554
Fanga	id=g:6998555
Ummadau	id=g:6998556
Dufa	id=g:6998557
Tulun Busawa	id=g:6998558
Karfa	id=g:6998559
Runfu	id=g:6998560
Dan Albasa	id=g:6998561
Ungwan Yangwanki	id=g:6998562
Ungwan Bambami	id=g:6998563
Nasarawa	id=g:6998564
Takasaba	id=g:6998565
Ungwan Gyada	id=g:6998566
Danmawa	id=g:6998567
Nasawara Kobo	id=g:6998568
Dabtau	id=g:6998569
Dan Alikima	id=g:6998570
Nasawara	id=g:6998571
Ungwan Makera	id=g:6998572
Mai Gezogi	id=g:6998573
Tashana Aleya	id=g:6998574
Metevino	id=g:6998575
Dan-Tudu	id=g:6998576
Dan Geza	id=g:6998577
Palali	id=g:6998578
Bore	id=g:6998579
Karda	id=g:6998580
Shaya	id=g:6998581
Kadabuki	id=g:6998582
Makera	id=g:6998583
Ungwan Kadanya	id=g:6998584
Tudu	id=g:6998585
Tudu	id=g:6998586
Hanya Gundawa	id=g:6998587
Ungwan Samai	id=g:6998588
Damari	id=g:6998589
Gurbi Mikiya	id=g:6998590
Katoji	id=g:6998591
Dan Sabo	id=g:6998592
Rafi	id=g:6998593
Birchi Sugune	id=g:6998594
Birchi Malamawa	id=g:6998595
Birchi Hill	id=g:6998596
Gobirawa	id=g:6998597
Akuzo	id=g:6998598
Bawo	id=g:6998599
Tudun Mairaira	id=g:6998600
Ungwan Danwaru	id=g:6998601
Rugumawa	id=g:6998602
Ungwan Kesau	id=g:6998603
Gurbi	id=g:6998604
Tafkin Kazai	id=g:6998605
Dakai	id=g:6998606
Mandaba	id=g:6998607
Dogon Kawo	id=g:6998608
Gyauri	id=g:6998609
Manmo	id=g:6998610
River Kaigu	id=g:6998913
River Mara	id=g:6998914
River Rugumawa	id=g:6998915
Yan Tumaki Forests	id=g:6999126
Katsina Native Area Forest Reserve Number 40	id=g:6999127
Busta Forest Reserve	id=g:6999129
Fahu Forest Reserve	id=g:6999130
Gidan Mutum Daya	id=g:6999132
Yashe Forest Reserve	id=g:6999133
Yan Kamaye	id=g:6999134
Rimaya	id=g:6999135
Tudun Tuni	id=g:6999136
Aweri	id=g:6999137
Danganji	id=g:6999138
Zorgi	id=g:6999139
Gida Malo	id=g:6999140
Sali Hawa	id=g:6999141
Dugul	id=g:6999142
Yelwa	id=g:6999143
Ilali	id=g:6999144
Nassarawa	id=g:6999145
Rijin Gora	id=g:6999146
Karchi	id=g:6999147
Amarawa	id=g:6999148
Dan Ali	id=g:6999149
Sabon Gari Gani	id=g:6999150
Sabon Lai	id=g:6999151
Tasha Margawa	id=g:6999152
Ungwan Saidu	id=g:6999153
Tasha Na Baba	id=g:6999154
Ungwan Kakun	id=g:6999155
Ungwan Makada	id=g:6999156
Gargi	id=g:6999157
River Bunsuru	id=g:6999159
Jikamshi	id=g:6999161
River Kogin Bargwoma	id=g:6999456
Gidan Zamai	id=g:6999457
Gidan Madawakin Kura	id=g:6999458
Gidan Nayaya	id=g:6999459
Gidan Magiru	id=g:6999460
Gidan Madawakin	id=g:6999461
Gidan Dangara	id=g:6999462
Gidan Gamashinao	id=g:6999463
Gidan Gamatung	id=g:6999464
Gidan Taka	id=g:6999465
Gidan Gamayange	id=g:6999466
Gidan Gamagubi	id=g:6999467
Gidan Dangana	id=g:6999468
Gidan Maima	id=g:6999469
Gidan Bidawa	id=g:6999470
Gidan Koko	id=g:6999471
Gidan Jataobuki	id=g:6999472
Kashuan Daji	id=g:6999473
Gidan Ipasu	id=g:6999474
Gidan Gwangari	id=g:6999475
Gidan Kibiji	id=g:6999476
Gidan Sarikin Ushama	id=g:6999477
Gidan Gamayange	id=g:6999478
Gidan Gajere	id=g:6999479
Gidan Zata	id=g:6999480
Gidan Bature Makeri	id=g:6999481
Gidan Gwangari	id=g:6999482
Gidan Basakwache	id=g:6999483
Gidan Yameyao	id=g:6999484
Gidan Obiza	id=g:6999485
Gidan Bugana	id=g:6999486
Gidan Sarikan Dogari	id=g:6999487
Tsaunin Yeru	id=g:6999488
Tsaunin Ukuru	id=g:6999489
Tsaunin Mainono	id=g:6999490
Tsaunin Kura	id=g:6999491
Tsaunin Kuki	id=g:6999492
Gidan Uadam	id=g:6999494
Gidan Dakari	id=g:6999495
Gidan Kakangari	id=g:6999496
Gidan Angu	id=g:6999497
Gidan Maidoka	id=g:6999498
Gidan Magayaki	id=g:6999499
Gidan Angu	id=g:6999500
Tsaunin Shamaimbu	id=g:6999501
Gidan Daudu	id=g:6999502
Tsaunin Tugwoma	id=g:6999503
Tungan Makeri	id=g:6999504
Gidan Madudu	id=g:6999505
Tsaunin Kukoki	id=g:6999506
Gidan Angu	id=g:6999507
Kazuma	id=g:6999508
Gidan Kwabura	id=g:6999510
Gidan Banagu	id=g:6999511
Gidan Maijirigin Wakili	id=g:6999512
Tsaunin Tukusana	id=g:6999513
Gidan Baji	id=g:6999515
Gidan Ajingi	id=g:6999516
Gidan Dansoho	id=g:6999517
Gidan Maijaki	id=g:6999518
Gidan Bala-Maleri	id=g:6999519
Gidan Bagudu	id=g:6999520
Gidan Biyaboki	id=g:6999521
Gidan Adamu	id=g:6999522
Gidan Sunauma	id=g:6999523
Tsaunin Rima	id=g:6999524
Tsaunin Uran Chikki	id=g:6999525
Gidan Kwaruru	id=g:6999527
Gidan Sarikan-Ringa	id=g:6999528
Gidan Buwayi	id=g:6999530
Tsaunin Palaipe	id=g:6999531
Tsaunin Manyau	id=g:6999532
